year,total_population,district
2021,1147000,Galle
2022,1147000,Galle
2023,1139000,Galle
2007,804061,Matara
2008,808673,Matara
2009,813285,Matara
2010,817897,Matara
2011,822509,Matara
2012,827121,Matara
2013,831733,Matara
2014,832000,Matara
2015,840000,Matara
2016,845000,Matara
2017,851000,Matara
2018,858000,Matara
2019,863000,Matara
2020,866000,Matara
2021,873000,Matara
2022,874000,Matara
2023,869000,Matara
2007,570188,Hambantota
2008,577545,Hambantota
2009,584903,Hambantota
2010,592261,Hambantota
2011,599618,Hambantota
2012,606976,Hambantota
2013,614333,Hambantota
2014,618000,Hambantota
2015,625000,Hambantota
2016,637000,Hambantota
2017,647000,Hambantota
2018,655000,Hambantota
2019,661000,Hambantota
2020,668000,Hambantota
2021,676000,Hambantota
2022,681000,Hambantota
2023,680000,Hambantota
2007,563885,Jaffna
2008,568182,Jaffna
2009,572479,Jaffna
2010,576776,Jaffna
2011,581073,Jaffna
2012,585370,Jaffna
2013,589667,Jaffna
2014,593000,Jaffna
2015,596000,Jaffna
2016,602000,Jaffna
2017,608000,Jaffna
2018,613000,Jaffna
2019,617000,Jaffna
2020,621000,Jaffna
2021,626000,Jaffna
2022,629000,Jaffna
2023,628000,Jaffna
2007,101836,Kilinochchi
2008,103764,Kilinochchi
2009,105691,Kilinochchi
2010,107618,Kilinochchi
2011,109545,Kilinochchi
2012,111473,Kilinochchi
2013,113400,Kilinochchi
2014,118000,Kilinochchi
2015,119000,Kilinochchi
2016,122000,Kilinochchi
2017,124000,Kilinochchi
2018,126000,Kilinochchi
2019,97000,Kilinochchi
2020,130000,Kilinochchi
2021,133000,Kilinochchi
2022,135000,Kilinochchi
2023,136000,Kilinochchi
2007,91436,Mannar
2008,93164,Mannar
2009,94891,Mannar
2010,96618,Mannar
2011,98345,Mannar
2012,100073,Mannar
2013,101800,Mannar
2014,102000,Mannar
2015,103000,Mannar
2016,106000,Mannar
2017,107000,Mannar
2018,109000,Mannar
2019,129000,Mannar
2020,112000,Mannar
2021,114000,Mannar
2022,115000,Mannar
2023,116000,Mannar
2007,161430,Vavuniya
2008,163036,Vavuniya
2009,164642,Vavuniya
2010,166248,Vavuniya
2011,167855,Vavuniya
2012,169461,Vavuniya
2013,171067,Vavuniya
2014,178000,Vavuniya
2015,181000,Vavuniya
2016,182000,Vavuniya
2017,184000,Vavuniya
2018,187000,Vavuniya
2019,111000,Vavuniya
2020,191000,Vavuniya
2021,194000,Vavuniya
2022,195000,Vavuniya
2023,196000,Vavuniya
2007,94182,Mullaitivu
2008,95218,Mullaitivu
2009,96255,Mullaitivu
2010,97291,Mullaitivu
2011,98327,Mullaitivu
2012,99364,Mullaitivu
2013,100400,Mullaitivu
2014,95000,Mullaitivu
2015,96000,Mullaitivu
2016,95000,Mullaitivu
2017,96000,Mullaitivu
2018,96000,Mullaitivu
2019,189000,Mullaitivu
2020,98000,Mullaitivu
2021,98000,Mullaitivu
2022,99000,Mullaitivu
2023,99000,Mullaitivu
2007,495552,Batticaloa
2008,501782,Batticaloa
2009,508012,Batticaloa
2010,514242,Batticaloa
2011,520473,Batticaloa
2012,526703,Batticaloa
2013,532933,Batticaloa
2014,535000,Batticaloa
2015,541000,Batticaloa
2016,550000,Batticaloa
2017,560000,Batticaloa
2018,570000,Batticaloa
2019,575000,Batticaloa
2020,579000,Batticaloa
2021,590000,Batticaloa
2022,590000,Batticaloa
2023,582000,Batticaloa
2007,597939,Ampara
2008,608327,Ampara
2009,618715,Ampara
2010,629103,Ampara
2011,639491,Ampara
2012,649879,Ampara
2013,660267,Ampara
2014,666000,Ampara
2015,674000,Ampara
2016,691000,Ampara
2017,705000,Ampara
2018,719000,Ampara
2019,728000,Ampara
2020,736000,Ampara
2021,752000,Ampara
2022,754000,Ampara
2023,749000,Ampara
2007,347648,Trincomalee
2008,354018,Trincomalee
2009,360388,Trincomalee
2010,366758,Trincomalee
2011,373127,Trincomalee
2012,379497,Trincomalee
2013,385867,Trincomalee
2014,391000,Trincomalee
2015,396000,Trincomalee
2016,404000,Trincomalee
2017,412000,Trincomalee
2018,421000,Trincomalee
2019,426000,Trincomalee
2020,431000,Trincomalee
2021,441000,Trincomalee
2022,444000,Trincomalee
2023,443000,Trincomalee
2007,1584303,Kurunegala
2008,1594764,Kurunegala
2009,1605224,Kurunegala
2010,1615685,Kurunegala
2011,1626145,Kurunegala
2012,1636606,Kurunegala
2013,1647067,Kurunegala
2014,1647000,Kurunegala
2015,1661000,Kurunegala
2016,1676000,Kurunegala
2017,1694000,Kurunegala
2018,1711000,Kurunegala
2019,1719000,Kurunegala
2020,1726000,Kurunegala
2021,1743000,Kurunegala
2022,1742000,Kurunegala
2023,1727000,Kurunegala
2007,726424,Puttalam
2008,734709,Puttalam
2009,742994,Puttalam
2010,751279,Puttalam
2011,759564,Puttalam
2012,767848,Puttalam
2013,776133,Puttalam
2014,778000,Puttalam
2015,786000,Puttalam
2016,801000,Puttalam
2017,814000,Puttalam
2018,825000,Puttalam
2019,832000,Puttalam
2020,837000,Puttalam
2021,849000,Puttalam
2022,850000,Puttalam
2023,845000,Puttalam
2007,834903,Anuradhapura
2008,842964,Anuradhapura
2009,851024,Anuradhapura
2010,859085,Anuradhapura
2011,867145,Anuradhapura
2012,875206,Anuradhapura
2013,883267,Anuradhapura
2014,886000,Anuradhapura
2015,896000,Anuradhapura
2016,905000,Anuradhapura
2017,918000,Anuradhapura
2018,930000,Anuradhapura
2019,937000,Anuradhapura
2020,943000,Anuradhapura
2021,954000,Anuradhapura
2022,957000,Anuradhapura
2023,950000,Anuradhapura
2007,393333,Polonnaruwa
2008,397000,Polonnaruwa
2009,400667,Polonnaruwa
2010,404333,Polonnaruwa
2011,408000,Polonnaruwa
2012,411667,Polonnaruwa
2013,415333,Polonnaruwa
2014,416000,Polonnaruwa
2015,422000,Polonnaruwa
2016,425000,Polonnaruwa
2017,431000,Polonnaruwa
2018,436000,Polonnaruwa
2019,440000,Polonnaruwa
2020,443000,Polonnaruwa
2021,448000,Polonnaruwa
2022,449000,Polonnaruwa
2023,445000,Polonnaruwa
2007,790030,Badulla
2008,797236,Badulla
2009,804442,Badulla
2010,811648,Badulla
2011,818855,Badulla
2012,826061,Badulla
2013,833267,Badulla
2014,836000,Badulla
2015,846000,Badulla
2016,854000,Badulla
2017,864000,Badulla
2018,873000,Badulla
2019,880000,Badulla
2020,886000,Badulla
2021,895000,Badulla
2022,899000,Badulla
2023,896000,Badulla
2007,436012,Moneragala
2008,440855,Moneragala
2009,445697,Moneragala
2010,450539,Moneragala
2011,455382,Moneragala
2012,460224,Moneragala
2013,465067,Moneragala
2014,467000,Moneragala
2015,475000,Moneragala
2016,479000,Moneragala
2017,485000,Moneragala
2018,491000,Moneragala
2019,496000,Moneragala
2020,501000,Moneragala
2021,505000,Moneragala
2022,509000,Moneragala
2023,509000,Moneragala
2007,1057970,Ratnapura
2008,1066964,Ratnapura
2009,1075958,Ratnapura
2010,1084952,Ratnapura
2011,1093945,Ratnapura
2012,1102939,Ratnapura
2013,1111933,Ratnapura
2014,1114000,Ratnapura
2015,1125000,Ratnapura
2016,1140000,Ratnapura
2017,1151000,Ratnapura
2018,1163000,Ratnapura
2019,1171000,Ratnapura
2020,1179000,Ratnapura
2021,1190000,Ratnapura
2022,1193000,Ratnapura
2023,1188000,Ratnapura
2007,828600,Kegalle
2008,833200,Kegalle
2009,837800,Kegalle
2010,842400,Kegalle
2011,847000,Kegalle
2012,851600,Kegalle
2013,856200,Kegalle
2014,856000,Kegalle
2015,863000,Kegalle
2016,869000,Kegalle
2017,877000,Kegalle
2018,884000,Kegalle
2019,887000,Kegalle
2020,891000,Kegalle
2021,898000,Kegalle
2022,898000,Kegalle
2023,892000,Kegalle
